neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
Avondale,Private room,36,86.0,27,4.96
North Center,Entire home/apt,21,101.0,176,4.98
Logan Square,Entire home/apt,23,193.0,113,4.88
Logan Square,Entire home/apt,27,293.0,93,4.86
Logan Square,Entire home/apt,27,134.0,25,4.6
Logan Square,Entire home/apt,27,115.0,40,4.93
Rogers Park,Private room,34,48.0,36,4.97
Near North Side,Private room,66,91.0,737,4.9
Near West Side,Entire home/apt,73,154.0,347,4.98
West Town,Entire home/apt,64,280.0,169,4.96
Lincoln Park,Entire home/apt,5,125.0,59,4.92
Irving Park,Private room,30,33.0,31,4.71
Lake View,Entire home/apt,8,215.0,218,5.0
Logan Square,Entire home/apt,49,167.0,64,4.81
Logan Square,Entire home/apt,27,89.0,79,4.84
Rogers Park,Entire home/apt,36,287.0,280,4.99
Norwood Park,Private room,1,39.0,266,4.78
Lake View,Entire home/apt,9,171.0,116,4.98
Lake View,Private room,13,63.0,264,4.98
Logan Square,Entire home/apt,39,91.0,307,4.82
West Pullman,Entire home/apt,75,120.0,179,4.47
Lake View,Entire home/apt,8,234.0,234,4.98
West Town,Private room,41,95.0,143,4.97
Lake View,Entire home/apt,16,425.0,61,4.85
North Center,Entire home/apt,16,1500.0,0,
Lincoln Square,Entire home/apt,30,70.0,30,4.93
West Town,Entire home/apt,41,650.0,89,4.93
Lake View,Entire home/apt,17,350.0,111,4.84
Rogers Park,Entire home/apt,23,94.0,278,4.88
Avondale,Entire home/apt,32,500.0,90,4.93
West Town,Entire home/apt,61,136.0,366,4.92
Logan Square,Entire home/apt,42,231.0,125,4.86
Lincoln Park,Entire home/apt,10,156.0,343,4.85
Belmont Cragin,Private room,29,85.0,59,4.85
West Ridge,Entire home/apt,21,65.0,23,4.87
Belmont Cragin,Entire home/apt,33,392.0,42,4.9
Rogers Park,Private room,33,58.0,136,4.9
Archer Heights,Private room,39,40.0,483,4.69
West Town,Entire home/apt,34,132.0,331,4.96
Portage Park,Entire home/apt,14,98.0,97,4.88
Lake View,Entire home/apt,10,399.0,60,4.98
Lake View,Entire home/apt,17,149.0,241,4.85
Logan Square,Entire home/apt,42,124.0,5,5.0
Armour Square,Private room,47,139.0,179,4.71
Lake View,Entire home/apt,14,82.0,204,4.8
Lake View,Entire home/apt,17,74.0,6,5.0
Edgewater,Entire home/apt,21,96.0,348,4.96
Lincoln Park,Entire home/apt,18,200.0,47,4.51
Irving Park,Private room,35,99.0,76,4.97
Edgewater,Private room,21,82.0,314,4.97
Lake View,Entire home/apt,8,110.0,138,4.69
West Town,Entire home/apt,57,115.0,297,4.82
Logan Square,Entire home/apt,38,122.0,65,4.74
Armour Square,Private room,42,79.0,227,4.62
Near North Side,Entire home/apt,52,100.0,21,4.76
Lake View,Entire home/apt,9,271.0,114,4.83
North Park,Private room,25,92.0,151,4.81
Lake View,Private room,9,95.0,95,4.98
Norwood Park,Private room,1,40.0,311,4.77
West Town,Private room,43,95.0,49,4.82
West Town,Entire home/apt,54,77.0,527,4.77
Uptown,Entire home/apt,21,154.0,378,4.92
North Center,Entire home/apt,12,80.0,311,4.91
Rogers Park,Entire home/apt,26,134.0,127,5.0
Logan Square,Entire home/apt,83,113.0,98,4.81
Jefferson Park,Entire home/apt,7,126.0,232,4.95
Oakland,Entire home/apt,65,450.0,48,4.9
