neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
Logan Square,Entire home/apt,23,197.0,16,5.0
Washington Park,Entire home/apt,134,90.0,3,5.0
West Lawn,Entire home/apt,17,89.0,2,5.0
Near North Side,Private room,57,76.0,368,4.52
Near North Side,Entire home/apt,54,110.0,1,1.0
Loop,Entire home/apt,59,112.0,0,
Near North Side,Entire home/apt,54,122.0,0,
Loop,Entire home/apt,53,450.0,0,
Lincoln Park,Entire home/apt,5,90.0,32,4.75
Rogers Park,Entire home/apt,40,121.0,0,
West Town,Entire home/apt,52,147.0,3,4.67
Near North Side,Entire home/apt,47,361.0,49,5.0
Lake View,Entire home/apt,19,47.0,21,4.62
Near North Side,Entire home/apt,54,150.0,0,
Roseland,Entire home/apt,113,204.0,46,4.93
Near North Side,Entire home/apt,54,120.0,0,
Logan Square,Entire home/apt,40,107.0,47,4.77
Lake View,Entire home/apt,8,212.0,25,5.0
West Town,Entire home/apt,39,84.0,39,4.69
Uptown,Private room,19,104.0,17,5.0
South Deering,Private room,38,76.0,1,5.0
Uptown,Entire home/apt,18,62.0,16,4.75
South Lawndale,Entire home/apt,153,129.0,7,5.0
Uptown,Entire home/apt,18,59.0,28,4.71
Uptown,Entire home/apt,18,57.0,32,4.59
Englewood,Private room,247,25.0,2,5.0
West Town,Entire home/apt,45,383.0,19,4.84
Lake View,Entire home/apt,8,298.0,9,4.89
Near North Side,Entire home/apt,46,250.0,21,4.86
Near North Side,Entire home/apt,53,865.0,1,5.0
Calumet Heights,Entire home/apt,96,149.0,24,4.42
Near North Side,Entire home/apt,51,249.0,1,5.0
Near North Side,Entire home/apt,54,139.0,0,
Near North Side,Entire home/apt,54,124.0,0,
Lincoln Park,Private room,15,464.0,0,
Near North Side,Entire home/apt,49,250.0,10,4.7
West Town,Entire home/apt,50,111.0,0,
Lincoln Park,Private room,14,236.0,0,
Lincoln Park,Private room,14,363.0,1,5.0
Lower West Side,Entire home/apt,87,156.0,8,4.88
Lincoln Park,Private room,10,387.0,1,1.0
Lincoln Park,Private room,11,410.0,0,
West Ridge,Entire home/apt,22,85.0,16,4.81
Uptown,Entire home/apt,21,189.0,31,5.0
Lincoln Park,Entire home/apt,15,99.0,2,5.0
Irving Park,Entire home/apt,37,152.0,15,4.93
South Shore,Entire home/apt,145,195.0,0,
Norwood Park,Entire home/apt,1,80.0,51,4.84
West Town,Entire home/apt,50,122.0,1,5.0
Near North Side,Entire home/apt,54,122.0,0,
Bridgeport,Private room,37,40.0,3,4.67
West Town,Entire home/apt,131,171.0,17,5.0
Lincoln Park,Private room,27,80.0,3,4.33
Near West Side,Entire home/apt,119,92.0,2,5.0
Ohare,Entire home/apt,1,133.0,10,4.8
Logan Square,Entire home/apt,37,69.0,1,5.0
South Deering,Entire home/apt,36,76.0,0,
Loop,Private room,50,160.0,19,4.74
Near South Side,Entire home/apt,38,182.0,21,5.0
Near South Side,Entire home/apt,51,182.0,33,4.91
Near South Side,Entire home/apt,52,136.0,24,4.92
Loop,Private room,50,160.0,34,4.88
Austin,Entire home/apt,84,291.0,0,
West Town,Entire home/apt,50,145.0,0,
Lake View,Entire home/apt,9,162.0,6,4.83
West Town,Entire home/apt,64,561.0,18,5.0
Washington Park,Private room,151,45.0,21,4.52
Washington Park,Private room,152,45.0,14,4.71
Washington Park,Entire home/apt,153,160.0,6,4.83
Washington Park,Entire home/apt,153,260.0,3,4.33
Woodlawn,Entire home/apt,186,170.0,37,4.95
Woodlawn,Entire home/apt,143,81.0,4,5.0
Loop,Entire home/apt,51,148.0,32,4.72
Humboldt Park,Entire home/apt,139,59.0,2,5.0
Bridgeport,Private room,37,35.0,19,4.16
West Town,Entire home/apt,26,150.0,22,5.0
Lincoln Park,Entire home/apt,14,214.0,11,4.64
Logan Square,Entire home/apt,105,75.0,3,5.0
Uptown,Entire home/apt,18,175.0,1,5.0
Brighton Park,Entire home/apt,53,165.0,18,5.0
East Garfield Park,Entire home/apt,246,255.0,2,5.0
Near North Side,Entire home/apt,54,116.0,0,
Near North Side,Entire home/apt,54,120.0,0,
Near West Side,Entire home/apt,55,364.0,19,4.68
Near North Side,Entire home/apt,58,1149.0,6,5.0
West Town,Private room,197,43.0,15,4.8
Near North Side,Private room,45,223.0,4,4.5
Near North Side,Entire home/apt,54,118.0,0,
Near North Side,Entire home/apt,46,411.0,33,4.76
Near North Side,Entire home/apt,49,395.0,22,4.82
Logan Square,Private room,23,68.0,0,
Kenwood,Entire home/apt,50,85.0,57,4.89
Lincoln Square,Entire home/apt,25,100.0,23,5.0
Near North Side,Entire home/apt,54,128.0,0,
North Lawndale,Entire home/apt,224,70.0,9,5.0
North Lawndale,Entire home/apt,259,230.0,25,4.88
Uptown,Entire home/apt,18,111.0,0,
West Town,Entire home/apt,48,98.0,61,4.98
Lincoln Park,Entire home/apt,26,529.0,18,5.0
Near North Side,Entire home/apt,54,127.0,0,
Near North Side,Entire home/apt,59,1149.0,2,5.0
Near North Side,Entire home/apt,54,118.0,0,
Avondale,Entire home/apt,33,87.0,31,4.58
Douglas,Entire home/apt,78,125.0,11,4.73
North Center,Entire home/apt,20,140.0,1,5.0
Woodlawn,Entire home/apt,121,421.0,19,4.95
Woodlawn,Private room,155,100.0,1,4.0
West Ridge,Entire home/apt,21,92.0,13,4.0
Albany Park,Private room,33,45.0,13,4.69
Near North Side,Entire home/apt,47,173.0,0,
Near West Side,Private room,156,150.0,16,5.0
West Town,Entire home/apt,115,109.0,28,4.43
Uptown,Entire home/apt,16,65.0,0,
Dunning,Entire home/apt,20,102.0,0,
Near South Side,Entire home/apt,51,194.0,0,
Near North Side,Hotel room,60,245.0,40,4.43
Logan Square,Entire home/apt,56,452.0,20,4.85
Uptown,Entire home/apt,18,126.0,1,5.0
Fuller Park,Entire home/apt,110,120.0,2,5.0
Lower West Side,Private room,37,29.0,15,4.27
South Lawndale,Entire home/apt,139,74.0,12,4.17
East Garfield Park,Entire home/apt,441,228.0,0,
West Town,Entire home/apt,51,108.0,0,
West Town,Entire home/apt,51,91.0,0,
West Town,Entire home/apt,51,87.0,20,4.45
West Town,Entire home/apt,62,86.0,33,4.52
Logan Square,Entire home/apt,24,99.0,35,4.51
West Town,Entire home/apt,48,132.0,27,4.89
West Town,Entire home/apt,33,88.0,29,4.21
West Town,Entire home/apt,26,106.0,30,4.83
Lincoln Park,Private room,8,44.0,0,
Lincoln Park,Private room,11,59.0,0,
Lincoln Square,Entire home/apt,20,150.0,4,5.0
Humboldt Park,Private room,204,45.0,5,4.8
Lake View,Entire home/apt,19,97.0,11,4.91
West Town,Entire home/apt,97,81.0,52,5.0
Loop,Entire home/apt,51,335.0,24,4.96
West Town,Entire home/apt,31,145.0,20,4.9
Woodlawn,Private room,151,75.0,4,4.75
Near North Side,Entire home/apt,53,699.0,0,
Near North Side,Entire home/apt,54,934.0,0,
Loop,Entire home/apt,61,689.0,3,4.33
Woodlawn,Private room,153,125.0,0,
South Shore,Entire home/apt,188,143.0,21,4.81
Near West Side,Entire home/apt,59,673.0,0,
Lake View,Entire home/apt,7,69.0,27,4.22
Lake View,Entire home/apt,7,58.0,33,4.55
Brighton Park,Entire home/apt,58,56.0,49,4.94
Lincoln Park,Entire home/apt,21,249.0,1,5.0
Near West Side,Entire home/apt,79,250.0,28,4.93
Avondale,Entire home/apt,28,59.0,23,4.52
West Town,Entire home/apt,37,84.0,36,4.69
Avondale,Entire home/apt,37,56.0,28,4.14
Logan Square,Entire home/apt,41,139.0,49,5.0
West Englewood,Entire home/apt,284,129.0,29,4.34
Near West Side,Entire home/apt,63,315.0,9,5.0
West Englewood,Private room,216,120.0,0,
Woodlawn,Entire home/apt,164,86.0,1,5.0
Woodlawn,Entire home/apt,168,120.0,9,4.22
Irving Park,Entire home/apt,27,60.0,1,5.0
Loop,Entire home/apt,63,278.0,9,4.56
Lincoln Square,Entire home/apt,17,72.0,19,4.26
East Garfield Park,Entire home/apt,294,150.0,5,5.0
Humboldt Park,Entire home/apt,265,58.0,0,
Near North Side,Entire home/apt,46,945.0,12,5.0
Near West Side,Entire home/apt,115,95.0,2,5.0
Hyde Park,Entire home/apt,57,60.0,15,4.6
Hyde Park,Entire home/apt,36,60.0,57,4.53
Hyde Park,Entire home/apt,41,56.0,21,4.38
Hyde Park,Entire home/apt,52,56.0,28,4.36
Near South Side,Entire home/apt,51,248.0,0,
West Town,Entire home/apt,40,211.0,39,4.95
Lake View,Entire home/apt,10,116.0,29,4.9
Logan Square,Entire home/apt,44,131.0,28,4.75
Hyde Park,Entire home/apt,48,60.0,28,4.36
Loop,Entire home/apt,63,436.0,15,4.8
Bridgeport,Entire home/apt,35,105.0,1,5.0
Lincoln Park,Entire home/apt,10,107.0,33,4.91
South Shore,Entire home/apt,257,110.0,11,4.64
Portage Park,Entire home/apt,19,89.0,28,4.93
Hyde Park,Entire home/apt,39,56.0,13,4.08
Hyde Park,Entire home/apt,35,64.0,29,4.59
Hyde Park,Entire home/apt,34,60.0,24,4.5
Edgewater,Entire home/apt,24,110.0,0,
North Lawndale,Entire home/apt,363,152.0,17,4.82
Lincoln Park,Entire home/apt,18,279.0,26,4.88
Lincoln Park,Entire home/apt,5,118.0,30,4.9
Near West Side,Entire home/apt,42,364.0,22,4.55
Near West Side,Entire home/apt,42,401.0,9,4.78
Logan Square,Entire home/apt,45,337.0,9,4.89
West Town,Private room,42,79.0,0,
West Town,Entire home/apt,85,353.0,51,4.98
Pullman,Entire home/apt,97,150.0,26,4.92
Douglas,Entire home/apt,74,855.0,0,
Near North Side,Entire home/apt,36,225.0,0,
Hermosa,Entire home/apt,111,129.0,9,4.78
Woodlawn,Entire home/apt,140,95.0,35,4.97
Near West Side,Private room,60,70.0,0,
Near South Side,Entire home/apt,38,112.0,19,4.74
Near South Side,Entire home/apt,38,156.0,23,4.78
Albany Park,Entire home/apt,34,125.0,1,5.0
Logan Square,Entire home/apt,40,144.0,8,4.88
Near North Side,Entire home/apt,69,139.0,0,
Near North Side,Entire home/apt,69,138.0,0,
West Garfield Park,Private room,430,139.0,7,4.14
Near South Side,Entire home/apt,38,156.0,23,4.74
Near South Side,Entire home/apt,40,102.0,31,4.87
West Town,Entire home/apt,40,192.0,32,4.88
Loop,Private room,49,454.0,41,4.83
Douglas,Entire home/apt,81,50.0,18,4.78
Lake View,Entire home/apt,7,58.0,27,4.74
Uptown,Entire home/apt,18,67.0,34,4.94
South Chicago,Shared room,145,25.0,2,4.5
South Chicago,Shared room,135,25.0,6,4.17
South Chicago,Shared room,149,25.0,1,4.0
Bridgeport,Entire home/apt,48,100.0,31,4.58
Woodlawn,Entire home/apt,167,83.0,1,5.0
Brighton Park,Private room,63,63.0,19,4.63
Brighton Park,Entire home/apt,62,143.0,18,4.61
Chatham,Entire home/apt,193,119.0,0,
Grand Boulevard,Entire home/apt,77,101.0,19,4.58
Near South Side,Entire home/apt,38,108.0,21,4.76
Albany Park,Private room,32,45.0,9,5.0
East Garfield Park,Entire home/apt,272,170.0,4,4.75
Near North Side,Entire home/apt,68,1152.0,0,
Near West Side,Private room,135,18.0,0,
Lake View,Entire home/apt,8,420.0,10,5.0
Loop,Entire home/apt,51,70.0,1,5.0
Armour Square,Entire home/apt,47,112.0,24,4.83
Lincoln Square,Entire home/apt,17,155.0,12,4.92
Logan Square,Entire home/apt,40,104.0,12,4.92
Uptown,Entire home/apt,12,60.0,2,5.0
West Town,Entire home/apt,58,70.0,32,4.56
West Town,Entire home/apt,50,79.0,29,4.9
Hyde Park,Entire home/apt,41,60.0,19,4.16
Lake View,Entire home/apt,10,74.0,20,4.75
Near North Side,Entire home/apt,59,149.0,3,5.0
Lake View,Entire home/apt,11,66.0,49,4.45
Lake View,Entire home/apt,17,182.0,19,4.74
Lincoln Park,Entire home/apt,27,100.0,20,4.85
West Town,Private room,42,99.0,0,
Logan Square,Entire home/apt,50,99.0,24,4.29
Washington Park,Entire home/apt,136,48.0,32,4.84
Logan Square,Entire home/apt,58,171.0,31,5.0
West Town,Entire home/apt,41,121.0,17,4.53
West Town,Entire home/apt,61,67.0,43,4.86
Portage Park,Private room,19,42.0,0,
Loop,Entire home/apt,50,324.0,39,4.87
Lincoln Park,Entire home/apt,5,87.0,18,4.72
Near South Side,Entire home/apt,38,125.0,26,5.0
Uptown,Entire home/apt,16,60.0,30,4.53
Grand Boulevard,Private room,88,50.0,30,4.87
Humboldt Park,Entire home/apt,234,444.0,42,5.0
Norwood Park,Entire home/apt,3,126.0,17,4.88
Bridgeport,Entire home/apt,23,138.0,24,4.92
Near North Side,Hotel room,43,999.0,3,4.67
Near North Side,Entire home/apt,61,2667.0,0,
Lake View,Entire home/apt,8,471.0,26,5.0
Portage Park,Entire home/apt,11,385.0,10,5.0
Near North Side,Hotel room,49,799.0,0,
Near North Side,Hotel room,47,799.0,0,
Near North Side,Hotel room,46,799.0,0,
Near North Side,Hotel room,50,999.0,21,3.86
Near North Side,Hotel room,44,999.0,0,
Near North Side,Private room,44,999.0,16,3.88
Near North Side,Private room,49,999.0,8,3.5
Near North Side,Private room,47,999.0,28,3.71
West Ridge,Private room,22,78.0,10,4.9
Near North Side,Private room,47,999.0,1,5.0
Near North Side,Private room,48,999.0,3,2.67
Near North Side,Private room,48,999.0,109,3.81
Grand Boulevard,Entire home/apt,101,166.0,8,5.0
Near North Side,Private room,45,999.0,7,4.0
Near North Side,Private room,51,999.0,66,3.92
Near North Side,Private room,44,999.0,19,3.95
Near North Side,Hotel room,47,999.0,3,3.67
Near North Side,Hotel room,50,999.0,2,3.0
Edgewater,Entire home/apt,22,145.0,45,5.0
Loop,Entire home/apt,52,772.0,3,5.0
Lake View,Entire home/apt,11,112.0,49,4.76
West Ridge,Entire home/apt,23,91.0,6,3.17
Near North Side,Private room,44,74.0,476,4.6
Near North Side,Private room,44,80.0,145,4.56
Near North Side,Private room,44,133.0,0,
Near North Side,Private room,44,87.0,63,4.68
Near North Side,Private room,44,197.0,0,
Near North Side,Private room,44,74.0,9,4.67
Near North Side,Private room,44,86.0,16,4.75
Near North Side,Private room,44,292.0,0,
Near North Side,Private room,44,87.0,6,4.83
Near North Side,Private room,44,389.0,1,2.0
Logan Square,Entire home/apt,26,139.0,19,4.68
Near West Side,Entire home/apt,69,117.0,41,4.9
Loop,Entire home/apt,48,1567.0,1,5.0
Near South Side,Entire home/apt,51,110.0,0,
Near West Side,Entire home/apt,153,142.0,35,4.71
Near North Side,Entire home/apt,35,95.0,33,4.88
Lake View,Entire home/apt,9,88.0,24,4.75
Uptown,Entire home/apt,15,71.0,19,4.74
Uptown,Entire home/apt,15,61.0,30,4.53
Uptown,Private room,19,75.0,18,4.89
Washington Heights,Entire home/apt,45,81.0,45,4.93
Douglas,Private room,78,80.0,1,4.0
Douglas,Private room,79,70.0,3,4.0
Douglas,Private room,82,60.0,5,4.4
Austin,Entire home/apt,156,225.0,26,4.92
Hyde Park,Entire home/apt,71,493.0,11,5.0
Dunning,Entire home/apt,3,196.0,7,5.0
South Shore,Private room,199,35.0,13,4.46
West Town,Entire home/apt,46,62.0,20,4.55
West Town,Entire home/apt,42,113.0,48,4.9
Near South Side,Entire home/apt,51,118.0,1,5.0
Near North Side,Entire home/apt,46,95.0,0,
Irving Park,Entire home/apt,36,168.0,10,4.1
Kenwood,Private room,76,169.0,1,4.0
Near West Side,Entire home/apt,124,256.0,47,5.0
Loop,Entire home/apt,45,331.0,0,
Kenwood,Private room,76,125.0,1,4.0
Kenwood,Private room,76,125.0,3,4.33
Kenwood,Private room,81,100.0,1,5.0
Near South Side,Entire home/apt,36,136.0,13,4.85
Near South Side,Entire home/apt,40,156.0,15,4.93
Edgewater,Entire home/apt,18,178.0,6,5.0
Loop,Entire home/apt,61,155.0,1,5.0
East Garfield Park,Private room,349,50.0,0,
West Ridge,Entire home/apt,37,250.0,0,
West Town,Entire home/apt,40,137.0,28,4.96
West Town,Entire home/apt,44,238.0,36,5.0
Lake View,Entire home/apt,18,66.0,18,4.72
West Town,Entire home/apt,41,197.0,5,5.0
Near North Side,Entire home/apt,53,86.0,0,
Rogers Park,Entire home/apt,31,60.0,0,
Near South Side,Entire home/apt,37,152.0,18,4.94
South Shore,Private room,193,38.0,8,4.63
Logan Square,Entire home/apt,43,69.0,0,
Logan Square,Entire home/apt,43,94.0,0,
Logan Square,Entire home/apt,44,81.0,0,
Near North Side,Entire home/apt,45,421.0,43,5.0
Albany Park,Entire home/apt,35,92.0,32,4.88
Lake View,Entire home/apt,9,141.0,24,4.88
Uptown,Entire home/apt,19,221.0,16,4.75
West Town,Entire home/apt,42,106.0,2,5.0
Near North Side,Entire home/apt,57,145.0,1,5.0
Loop,Entire home/apt,54,121.0,1,5.0
Beverly,Entire home/apt,39,101.0,43,4.88
Albany Park,Entire home/apt,27,400.0,4,4.0
Lincoln Park,Entire home/apt,19,123.0,25,4.68
Logan Square,Entire home/apt,63,78.0,23,4.35
Near North Side,Entire home/apt,40,105.0,33,4.79
Lake View,Entire home/apt,8,159.0,0,
Hyde Park,Entire home/apt,33,70.0,34,4.5
Near North Side,Entire home/apt,43,123.0,20,4.9
Lower West Side,Private room,79,29.0,45,4.96
Lower West Side,Private room,68,23.0,22,4.59
Jefferson Park,Entire home/apt,4,74.0,3,4.0
Lower West Side,Private room,71,32.0,27,4.78
Lower West Side,Private room,71,27.0,24,4.63
Lower West Side,Private room,77,27.0,25,4.84
Near North Side,Private room,50,999.0,6,3.0
Near North Side,Private room,48,999.0,0,
Logan Square,Entire home/apt,47,145.0,0,
Bridgeport,Private room,51,35.0,23,4.43
Bridgeport,Private room,51,31.0,21,4.71
Bridgeport,Private room,51,32.0,27,4.59
Bridgeport,Private room,51,34.0,26,4.58
Bridgeport,Private room,47,28.0,30,4.23
Irving Park,Entire home/apt,29,105.0,25,5.0
South Lawndale,Entire home/apt,226,175.0,38,4.63
Near South Side,Entire home/apt,38,121.0,15,4.8
Near West Side,Entire home/apt,49,113.0,0,
Near West Side,Entire home/apt,59,111.0,0,
Near West Side,Entire home/apt,49,117.0,0,
Grand Boulevard,Entire home/apt,96,154.0,13,4.85
Portage Park,Entire home/apt,12,91.0,30,4.87
Edgewater,Entire home/apt,20,179.0,19,5.0
Dunning,Entire home/apt,3,305.0,2,5.0
West Town,Entire home/apt,42,144.0,21,4.76
Rogers Park,Entire home/apt,35,131.0,15,5.0
West Town,Entire home/apt,40,108.0,24,4.54
Rogers Park,Entire home/apt,38,65.0,36,4.86
North Center,Entire home/apt,14,99.0,1,5.0
Rogers Park,Entire home/apt,32,125.0,3,4.33
Near North Side,Entire home/apt,38,256.0,21,5.0
West Town,Entire home/apt,44,78.0,19,4.68
Hyde Park,Entire home/apt,24,60.0,52,4.48
Kenwood,Entire home/apt,24,65.0,36,4.64
Kenwood,Entire home/apt,24,60.0,33,4.58
Hyde Park,Entire home/apt,34,101.0,33,4.58
Hyde Park,Entire home/apt,34,65.0,25,4.6
Kenwood,Entire home/apt,24,56.0,48,4.69
Logan Square,Entire home/apt,19,92.0,8,5.0
Near West Side,Private room,153,46.0,3,5.0
Near West Side,Entire home/apt,55,744.0,1,1.0
Near West Side,Entire home/apt,42,562.0,0,
Near West Side,Entire home/apt,55,564.0,3,4.67
Edgewater,Entire home/apt,15,64.0,23,4.43
West Town,Entire home/apt,44,85.0,20,4.6
Avondale,Entire home/apt,36,375.0,1,5.0
Uptown,Entire home/apt,21,152.0,2,5.0
Logan Square,Entire home/apt,42,159.0,9,4.78
West Town,Entire home/apt,48,87.0,20,4.95
Kenwood,Private room,74,169.0,3,4.0
Near North Side,Private room,59,121.0,50,4.46
Chicago Lawn,Entire home/apt,135,230.0,3,4.67
Bridgeport,Entire home/apt,48,95.0,26,4.73
Kenwood,Private room,72,125.0,2,4.5
Hyde Park,Entire home/apt,25,79.0,30,4.8
South Shore,Private room,204,80.0,0,
Hyde Park,Entire home/apt,21,58.0,35,4.69
Hyde Park,Entire home/apt,25,67.0,25,4.84
Hyde Park,Entire home/apt,21,56.0,31,4.9
Hyde Park,Entire home/apt,21,56.0,25,4.48
North Center,Entire home/apt,15,102.0,16,5.0
Austin,Entire home/apt,73,240.0,0,
Uptown,Entire home/apt,16,80.0,25,4.44
Lake View,Private room,9,111.0,20,4.5
Logan Square,Entire home/apt,16,170.0,30,4.8
West Garfield Park,Private room,445,91.0,0,
Grand Boulevard,Entire home/apt,85,95.0,1,5.0
West Town,Entire home/apt,61,348.0,5,5.0
Edgewater,Entire home/apt,20,156.0,16,5.0
West Town,Private room,38,115.0,22,4.95
Lincoln Square,Entire home/apt,22,168.0,20,4.9
Edgewater,Entire home/apt,16,92.0,30,4.57
Near North Side,Entire home/apt,57,120.0,1,5.0
Chatham,Entire home/apt,169,244.0,3,3.0
Lower West Side,Private room,69,32.0,28,4.64
West Town,Entire home/apt,43,276.0,0,
Near North Side,Private room,55,64.0,2,5.0
Lincoln Park,Entire home/apt,26,231.0,6,5.0
Near North Side,Private room,55,64.0,11,4.09
Near North Side,Private room,55,64.0,2,4.0
Near North Side,Private room,54,64.0,6,4.17
Near North Side,Private room,60,64.0,2,5.0
Near North Side,Private room,54,64.0,10,4.0
Uptown,Entire home/apt,14,51.0,20,4.9
Albany Park,Private room,34,42.0,0,
Lower West Side,Entire home/apt,74,170.0,47,4.85
Brighton Park,Entire home/apt,63,169.0,19,4.79
Hyde Park,Entire home/apt,27,71.0,24,4.75
Hyde Park,Entire home/apt,26,94.0,23,4.52
Hyde Park,Entire home/apt,27,69.0,20,4.75
Hyde Park,Entire home/apt,26,141.0,14,4.0
Hyde Park,Entire home/apt,26,60.0,22,4.55
Near West Side,Entire home/apt,57,142.0,28,5.0
Hyde Park,Entire home/apt,22,150.0,33,4.79
Hyde Park,Entire home/apt,23,144.0,24,4.46
Avondale,Entire home/apt,31,180.0,14,5.0
Logan Square,Entire home/apt,88,160.0,14,4.93
Logan Square,Private room,54,65.0,1,5.0
Logan Square,Entire home/apt,49,250.0,3,5.0
Albany Park,Entire home/apt,32,67.0,43,4.98
Lincoln Square,Entire home/apt,31,170.0,1,5.0
Albany Park,Entire home/apt,26,293.0,7,4.57
West Town,Entire home/apt,26,900.0,0,
West Ridge,Entire home/apt,25,75.0,9,4.33
Near North Side,Entire home/apt,43,411.0,0,
Lower West Side,Private room,70,38.0,10,4.7
West Town,Shared room,26,66.0,3,5.0
Near West Side,Entire home/apt,60,167.0,11,4.73
Near West Side,Private room,68,121.0,73,4.42
Near West Side,Private room,68,121.0,0,
Near West Side,Private room,68,138.0,12,4.08
West Town,Entire home/apt,62,176.0,9,4.33
Near West Side,Entire home/apt,61,341.0,26,4.77
Douglas,Private room,52,86.0,12,4.83
Woodlawn,Entire home/apt,172,85.0,2,5.0
Humboldt Park,Entire home/apt,207,179.0,30,4.97
Near North Side,Entire home/apt,56,117.0,1,5.0
Humboldt Park,Entire home/apt,210,200.0,8,4.5
West Town,Entire home/apt,39,124.0,34,4.88
West Town,Entire home/apt,39,105.0,31,4.9
West Town,Private room,43,90.0,0,
West Town,Entire home/apt,34,249.0,1,5.0
Loop,Entire home/apt,51,98.0,2,5.0
Lake View,Entire home/apt,8,124.0,25,4.92
West Town,Private room,42,90.0,0,
West Town,Private room,44,90.0,0,
Englewood,Entire home/apt,203,162.0,12,4.08
West Town,Entire home/apt,41,293.0,4,5.0
West Ridge,Entire home/apt,37,112.0,15,4.6
Lake View,Entire home/apt,19,100.0,34,4.94
Grand Boulevard,Entire home/apt,88,181.0,19,4.89
Near South Side,Entire home/apt,37,177.0,22,4.64
Near West Side,Entire home/apt,52,109.0,0,
Near West Side,Entire home/apt,42,111.0,0,
Near North Side,Entire home/apt,35,89.0,30,4.73
West Town,Entire home/apt,26,185.0,5,5.0
Logan Square,Entire home/apt,45,90.0,0,
Logan Square,Entire home/apt,42,91.0,0,
Logan Square,Entire home/apt,43,126.0,0,
Loop,Entire home/apt,58,306.0,41,4.88
Logan Square,Entire home/apt,42,99.0,10,4.8
Irving Park,Entire home/apt,26,242.0,10,5.0
Woodlawn,Entire home/apt,142,91.0,8,5.0
Albany Park,Entire home/apt,31,102.0,22,4.82
Hermosa,Entire home/apt,39,203.0,5,4.8
Logan Square,Entire home/apt,92,89.0,46,4.93
Near West Side,Entire home/apt,52,117.0,0,
Woodlawn,Entire home/apt,177,195.0,18,4.94
Albany Park,Entire home/apt,14,105.0,25,5.0
South Deering,Private room,37,55.0,0,
Edgewater,Entire home/apt,23,189.0,27,4.92
Loop,Private room,58,120.0,10,4.8
Loop,Private room,58,111.0,37,4.62
Loop,Private room,58,102.0,41,4.59
Loop,Private room,58,102.0,9,4.67
Loop,Private room,58,111.0,0,
Loop,Private room,58,174.0,0,
Lake View,Entire home/apt,6,82.0,22,4.68
Lower West Side,Entire home/apt,70,136.0,25,4.96
Near West Side,Entire home/apt,59,358.0,23,4.78
Loop,Private room,58,120.0,0,
Loop,Private room,58,174.0,1,5.0
Loop,Private room,58,111.0,7,4.86
West Town,Entire home/apt,67,814.0,3,4.0
Near West Side,Entire home/apt,52,171.0,0,
Near West Side,Entire home/apt,42,222.0,0,
West Town,Shared room,30,44.0,0,
Logan Square,Private room,55,65.0,1,5.0
Logan Square,Private room,55,63.0,0,
Edgewater,Private room,15,46.0,0,
Bridgeport,Private room,39,55.0,21,4.9
Chatham,Entire home/apt,245,73.0,9,4.78
Lower West Side,Entire home/apt,74,170.0,16,5.0
Grand Boulevard,Entire home/apt,95,132.0,12,4.92
Woodlawn,Entire home/apt,177,127.0,28,4.86
Montclare,Entire home/apt,22,109.0,16,4.63
Near North Side,Entire home/apt,36,87.0,22,4.73
Near North Side,Private room,43,78.0,28,4.82
Near North Side,Private room,47,155.0,0,
Near South Side,Entire home/apt,38,143.0,13,4.69
Near South Side,Entire home/apt,38,350.0,13,4.92
Woodlawn,Entire home/apt,148,122.0,17,4.65
West Town,Entire home/apt,54,223.0,14,4.79
Near West Side,Entire home/apt,42,170.0,0,
Near West Side,Entire home/apt,42,146.0,0,
Near North Side,Private room,47,135.0,0,
Near South Side,Entire home/apt,36,156.0,9,5.0
Near South Side,Entire home/apt,38,125.0,24,4.92
Near South Side,Entire home/apt,38,152.0,18,4.94
Kenwood,Private room,76,125.0,0,
Logan Square,Entire home/apt,32,180.0,13,5.0
West Town,Entire home/apt,42,136.0,26,5.0
Near West Side,Entire home/apt,52,88.0,0,
Near West Side,Private room,149,52.0,1,5.0
Loop,Entire home/apt,63,424.0,19,4.74
Near West Side,Entire home/apt,52,114.0,0,
Near West Side,Entire home/apt,52,93.0,0,
Belmont Cragin,Entire home/apt,47,129.0,8,5.0
Near North Side,Entire home/apt,59,456.0,24,4.96
Portage Park,Entire home/apt,10,314.0,0,
Near North Side,Entire home/apt,38,133.0,0,
Ashburn,Entire home/apt,80,166.0,0,
Near North Side,Entire home/apt,68,176.0,42,4.93
Logan Square,Private room,57,51.0,1,5.0
West Town,Entire home/apt,50,69.0,37,4.43
Near North Side,Entire home/apt,44,159.0,0,
Lake View,Entire home/apt,17,312.0,7,4.86
Lower West Side,Entire home/apt,84,225.0,15,5.0
West Town,Private room,76,62.0,0,
Near North Side,Entire home/apt,69,139.0,1,5.0
West Town,Entire home/apt,48,133.0,20,4.95
East Garfield Park,Entire home/apt,365,120.0,5,4.8
West Town,Private room,24,182.0,0,
Bridgeport,Private room,30,94.0,0,
Near West Side,Hotel room,57,631.0,0,
Near West Side,Hotel room,57,319.0,0,
Near West Side,Hotel room,57,463.0,0,
Near West Side,Hotel room,57,319.0,0,
Near West Side,Hotel room,57,463.0,0,
Near West Side,Hotel room,57,631.0,0,
Near West Side,Hotel room,57,303.0,0,
Near West Side,Hotel room,57,303.0,0,
Near South Side,Entire home/apt,38,186.0,14,4.64
Logan Square,Private room,57,35.0,1,5.0
