latitude,longitude,neighbourhood_cleansed,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price,rating_bucket
41.93703,-87.66685,Lake View,Entire home,Entire home/apt,4.93,4,2.0,2.0,151.0,4.9-5.0
41.82029329795291,-87.6105906706665,Grand Boulevard,Entire rental unit,Entire home/apt,4.81,4,1.0,3.0,100.0,4.8-4.9
41.94665193965305,-87.71259678836059,Irving Park,Private room in rental unit,Private room,4.54,2,1.0,1.0,46.0,4.5-4.6
41.89956,-87.62189,Near North Side,Entire condo,Entire home/apt,4.94,6,2.0,2.0,342.0,4.9-5.0
41.7164528,-87.6191971,Roseland,Entire guesthouse,Entire home/apt,4.93,5,2.0,2.0,199.0,4.9-5.0
41.91770594394291,-87.70277843413332,Logan Square,Entire rental unit,Entire home/apt,4.9,4,2.0,2.0,170.0,4.8-4.9
41.9346218689634,-87.64440960850334,Lake View,Entire rental unit,Entire home/apt,4.48,2,0.0,1.0,58.0,4.25-4.5
41.92033,-87.6384,Lincoln Park,Entire rental unit,Entire home/apt,4.7,3,1.0,2.0,331.0,4.6-4.7
41.9392428,-87.6422525,Lake View,Entire rental unit,Entire home/apt,4.96,16,4.0,10.0,300.0,4.9-5.0
41.88745,-87.62454,Loop,Entire rental unit,Entire home/apt,5.0,4,1.0,2.0,119.0,4.9-5.0
41.753253010612305,-87.64438418500639,Auburn Gresham,Entire home,Entire home/apt,4.51,6,3.0,3.0,76.0,4.5-4.6
41.9639506,-87.6826421,Lincoln Square,Entire rental unit,Entire home/apt,5.0,4,2.0,0.0,290.0,4.9-5.0
41.96881843640753,-87.71171647035958,Albany Park,Entire rental unit,Entire home/apt,4.88,8,4.0,4.0,256.0,4.8-4.9
41.85361,-87.62455,Near South Side,Entire rental unit,Entire home/apt,4.94,8,2.0,3.0,121.0,4.9-5.0
41.96097558853919,-87.66796415134755,Lake View,Entire rental unit,Entire home/apt,4.93,2,1.0,1.0,73.0,4.9-5.0
41.9026828617223,-87.67517290089653,West Town,Entire home,Entire home/apt,4.98,12,4.0,6.0,370.0,4.9-5.0
41.77345,-87.63445,Englewood,Private room in rental unit,Private room,4.78,2,1.0,1.0,27.0,4.7-4.8
41.771613344967506,-87.63340399978942,Englewood,Private room in rental unit,Private room,4.7,2,1.0,1.0,34.0,4.6-4.7
41.77180109531502,-87.63495137622857,Englewood,Private room in rental unit,Private room,4.8,2,1.0,1.0,26.0,4.7-4.8
41.77347,-87.63453,Englewood,Private room in rental unit,Private room,4.8,2,1.0,1.0,27.0,4.7-4.8
41.77313,-87.63489,Englewood,Private room in rental unit,Private room,4.88,2,1.0,1.0,24.0,4.8-4.9
42.0071596,-87.6741593,Rogers Park,Entire home,Entire home/apt,4.9,10,4.0,8.0,349.0,4.8-4.9
41.77351,-87.63316,Englewood,Private room in rental unit,Private room,4.85,2,1.0,1.0,33.0,4.8-4.9
41.8818954,-87.7694606,Austin,Entire rental unit,Entire home/apt,4.74,6,3.0,3.0,184.0,4.7-4.8
41.88053295325809,-87.7699166689929,Austin,Entire rental unit,Entire home/apt,4.92,4,2.0,2.0,173.0,4.9-5.0
41.74183578277683,-87.55982789341638,South Chicago,Entire condo,Entire home/apt,4.45,5,3.0,3.0,250.0,4.25-4.5
41.87611,-87.62991,Loop,Entire rental unit,Entire home/apt,4.79,6,2.0,3.0,186.0,4.7-4.8
41.94482,-87.68347,North Center,Entire rental unit,Entire home/apt,4.98,2,1.0,1.0,120.0,4.9-5.0
41.89603,-87.65922,West Town,Entire home,Entire home/apt,4.97,6,3.0,3.0,275.0,4.9-5.0
41.8563213,-87.6560896,Lower West Side,Entire home,Entire home/apt,4.73,6,3.0,4.0,122.0,4.7-4.8
41.8559,-87.62531,Near South Side,Entire rental unit,Entire home/apt,4.74,10,4.0,5.0,289.0,4.7-4.8
41.79491226119964,-87.62085780501366,Washington Park,Entire rental unit,Entire home/apt,4.73,10,3.0,4.0,150.0,4.7-4.8
41.90852,-87.6321,Near North Side,Entire home,Entire home/apt,5.0,8,4.0,3.0,1466.0,4.9-5.0
41.89617459999999,-87.678974,West Town,Entire rental unit,Entire home/apt,4.82,10,4.0,5.0,252.0,4.8-4.9
41.80423421377105,-87.60280592202308,Kenwood,Private room in townhouse,Private room,4.86,2,1.0,1.0,59.0,4.8-4.9
41.937308,-87.7788152,Belmont Cragin,Entire bungalow,Entire home/apt,4.9,4,2.0,2.0,105.0,4.8-4.9
41.88739,-87.62569,Loop,Room in hotel,Hotel room,5.0,2,1.0,1.0,167.0,4.9-5.0
41.8963634,-87.6266788,Near North Side,Entire rental unit,Entire home/apt,4.93,7,2.0,5.0,417.0,4.9-5.0
41.8963634,-87.6266788,Near North Side,Entire rental unit,Entire home/apt,4.62,7,2.0,5.0,404.0,4.6-4.7
