,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
73,14034438,JJ496176,2025-11-19T21:00:00.000,015XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1215,12,1,24,07,1165877.0,1904769.0,2025,2025-11-27T15:41:26.000,41.894272773,-87.666231796,"
,  
(41.894272773, -87.666231796)"
74,14034413,JJ495970,2025-11-19T21:00:00.000,050XX W ADAMS ST,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,1533,15,28,25,06,1142821.0,1898861.0,2025,2025-11-27T15:41:26.000,41.878521203,-87.751057355,"
,  
(41.878521203, -87.751057355)"
75,14035064,JJ496711,2025-11-19T21:00:00.000,018XX N HUMBOLDT BLVD,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1421,14,26,22,06,1156084.0,1912087.0,2025,2025-11-27T15:41:26.000,41.91455731,-87.702000734,"
,  
(41.91455731, -87.702000734)"
76,14034311,JJ496010,2025-11-19T21:00:00.000,051XX S BLACKSTONE AVE,0810,THEFT,OVER $500,STREET,False,False,234,2,4,41,06,1186788.0,1871294.0,2025,2025-11-27T15:41:26.000,41.801943879,-87.590496726,"
,  
(41.801943879, -87.590496726)"
77,14034217,JJ495863,2025-11-19T21:00:00.000,077XX S ST LAWRENCE AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,624,6,6,69,08A,1181574.0,1853859.0,2025,2025-11-27T15:41:26.000,41.754222634,-87.610156036,"
,  
(41.754222634, -87.610156036)"
78,14034569,JJ496304,2025-11-19T21:00:00.000,040XX N LOWELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1722,17,45,16,07,1146504.0,1926528.0,2025,2025-11-27T15:41:26.000,41.954372843,-87.736827427,"
,  
(41.954372843, -87.736827427)"
79,14034403,JJ496020,2025-11-19T21:00:00.000,075XX S CRANDON AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,STREET,False,True,414,4,7,43,04B,1192844.0,1855444.0,2025,2025-11-27T15:41:26.000,41.758304622,-87.568804182,"
,  
(41.758304622, -87.568804182)"
80,14033950,JJ495501,2025-11-19T20:58:00.000,030XX W 26TH ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1033,10,25,30,06,1156305.0,1886587.0,2025,2025-11-27T15:41:26.000,41.844578321,-87.70187809,"
,  
(41.844578321, -87.70187809)"
81,14036809,JJ495488,2025-11-19T20:48:00.000,059XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,BANK,False,False,2011,20,50,2,08A,1154722.0,1939471.0,2025,2025-11-27T15:41:26.000,41.989728238,-87.706268448,"
,  
(41.989728238, -87.706268448)"
82,14034143,JJ495728,2025-11-19T20:30:00.000,034XX W 38TH ST,0810,THEFT,OVER $500,STREET,False,False,911,9,12,58,06,1154134.0,1879189.0,2025,2025-11-27T15:41:26.000,41.824320811,-87.71004237,"
,  
(41.824320811, -87.71004237)"
83,14033900,JJ495472,2025-11-19T20:20:00.000,001XX E GARFIELD BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,231,2,20,40,15,1178220.0,1868467.0,2025,2025-11-27T15:41:26.000,41.794385224,-87.622004479,"
,  
(41.794385224, -87.622004479)"
84,14033893,JJ495470,2025-11-19T20:15:00.000,0000X E 105TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,512,5,9,49,14,1178277.0,1835337.0,2025,2025-11-27T15:41:26.000,41.703471334,-87.622798687,"
,  
(41.703471334, -87.622798687)"
85,14033879,JJ495473,2025-11-19T20:10:00.000,010XX W LELAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1914,19,46,3,06,1168660.0,1931389.0,2025,2025-11-27T15:41:26.000,41.967259531,-87.655237517,"
,  
(41.967259531, -87.655237517)"
86,14033981,JJ495507,2025-11-19T20:06:00.000,075XX S HERMITAGE AVE,0560,ASSAULT,SIMPLE,STREET,False,True,611,6,17,71,08A,1165992.0,1854594.0,2025,2025-11-27T15:41:26.000,41.756584809,-87.667238136,"
,  
(41.756584809, -87.667238136)"
87,14033967,JJ495484,2025-11-19T20:06:00.000,057XX S LOOMIS BLVD,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,False,713,7,16,67,24,1167974.0,1866787.0,2025,2025-11-27T15:41:26.000,41.790001609,-87.659624422,"
,  
(41.790001609, -87.659624422)"
