latitude,longitude,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price
42.0146897,-87.6694381,Entire rental unit,Entire home/apt,1.0,4,2.0,2.0,99.0
42.01599786110155,-87.66407774748305,Entire rental unit,Entire home/apt,,4,2.0,3.0,120.0
41.8923,-87.62227,Entire rental unit,Entire home/apt,,2,1.0,1.0,249.0
41.90519,-87.62749,Entire rental unit,Entire home/apt,,2,1.0,1.0,129.0
41.881197424043194,-87.64195673402415,Entire rental unit,Entire home/apt,,2,1.0,2.0,79.0
41.89723,-87.63238,Private room in rental unit,Private room,5.0,1,1.0,1.0,85.0
41.9799605,-87.6700987,Entire home,Entire home/apt,5.0,12,4.0,5.0,376.0
41.95238,-87.72887,Entire rental unit,Entire home/apt,5.0,2,0.0,1.0,72.0
41.933222308055655,-87.66046642748013,Entire rental unit,Entire home/apt,,6,3.0,3.0,100.0
41.9076133,-87.66545289999999,Entire rental unit,Entire home/apt,,2,2.0,2.0,80.0
41.91406677635192,-87.63417227998049,Entire home,Entire home/apt,4.73,12,4.0,6.0,701.0
41.92779400802092,-87.7414662504826,Private room in home,Private room,4.89,2,1.0,1.0,46.0
41.89396711823802,-87.61717562198497,Entire rental unit,Entire home/apt,5.0,2,1.0,1.0,161.0
41.85645179999999,-87.6421802,Entire rental unit,Entire home/apt,4.86,2,0.0,1.0,124.0
41.8089,-87.672,Private room in rental unit,Private room,4.33,3,1.0,2.0,21.0
41.999560418277774,-87.68226896347315,Entire rental unit,Entire home/apt,4.85,4,1.0,2.0,73.0
41.94046,-87.71852,Entire rental unit,Entire home/apt,,4,2.0,2.0,93.0
41.96351680703766,-87.66130674165065,Entire rental unit,Entire home/apt,,2,1.0,1.0,136.0
41.80481,-87.60402,Private room in rental unit,Private room,,2,1.0,1.0,125.0
41.80367,-87.60335,Private room in rental unit,Private room,,2,1.0,1.0,125.0
41.80469,-87.60252,Private room in rental unit,Private room,,2,1.0,1.0,125.0
41.80476,-87.60277,Private room in rental unit,Private room,,2,1.0,1.0,125.0
41.80367,-87.60335,Private room in rental unit,Private room,4.0,2,1.0,2.0,125.0
41.747512,-87.6496465,Entire home,Entire home/apt,5.0,6,4.0,5.0,271.0
41.8414486,-87.6563673,Entire cottage,Entire home/apt,4.88,6,3.0,5.0,170.0
41.8794938,-87.6953302,Entire home,Entire home/apt,4.13,5,2.0,2.0,200.0
41.80367739044944,-87.6179104875342,Entire home,Entire home/apt,,4,2.0,3.0,150.0
41.89862,-87.63109,Entire home,Entire home/apt,4.96,11,4.0,6.0,469.0
41.881383891642336,-87.65406647208398,Entire rental unit,Entire home/apt,5.0,2,1.0,1.0,179.0
41.9020661,-87.63330859999999,Entire rental unit,Entire home/apt,5.0,2,0.0,1.0,200.0
41.9020661,-87.63330859999999,Entire rental unit,Entire home/apt,3.5,4,0.0,1.0,250.0
41.87646,-87.65555,Entire rental unit,Entire home/apt,4.75,8,4.0,5.0,946.0
41.94207982304968,-87.71819029980844,Entire rental unit,Entire home/apt,,4,2.0,3.0,60.0
41.9377,-87.69786,Entire rental unit,Entire home/apt,5.0,4,2.0,3.0,172.0
41.8092224154791,-87.672396834021,Private room in rental unit,Private room,5.0,2,1.0,1.0,43.0
41.936558,-87.6836639,Entire rental unit,Entire home/apt,5.0,4,2.0,2.0,188.0
41.9176696,-87.6524369,Entire rental unit,Entire home/apt,4.93,11,4.0,6.0,407.0
41.95405355122235,-87.72666236058207,Entire rental unit,Entire home/apt,4.97,2,1.0,1.0,102.0
41.92840722695362,-87.74135619155744,Private room in home,Private room,4.86,2,1.0,1.0,46.0
41.88598551892797,-87.62548080269224,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.8693,-87.68376,Entire rental unit,Entire home/apt,5.0,8,3.0,3.0,193.0
41.776395963705745,-87.60386644127111,Entire rental unit,Entire home/apt,3.0,5,2.0,2.0,173.0
41.892167172514625,-87.6212018025471,Entire rental unit,Entire home/apt,5.0,2,1.0,1.0,118.0
41.84036,-87.65271,Private room in home,Private room,4.0,2,1.0,1.0,33.0
41.84059,-87.65426,Private room in home,Private room,4.3,2,1.0,1.0,33.0
41.92792,-87.74136,Private room in home,Private room,4.92,2,1.0,1.0,42.0
41.91717,-87.69797,Room in hotel,Private room,4.5,2,1.0,1.0,70.0
41.95365604758226,-87.67030399292707,Entire rental unit,Entire home/apt,4.44,2,1.0,1.0,53.0
41.844782427699414,-87.65364422804902,Private room in home,Private room,4.6,2,1.0,1.0,45.0
41.94309695558537,-87.64640237266137,Entire rental unit,Entire home/apt,,2,1.0,1.0,418.0
41.89098,-87.63245,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.8069,-87.67066,Private room in rental unit,Private room,5.0,3,1.0,1.0,21.0
41.79768395119388,-87.60210395897677,Entire rental unit,Entire home/apt,,4,2.0,2.0,95.0
41.84087354494921,-87.65255735249288,Private room in home,Private room,4.33,2,1.0,1.0,33.0
41.82961185958195,-87.64432031477325,Private room in rental unit,Private room,2.0,1,1.0,1.0,35.0
41.94485770000001,-87.6496542,Entire rental unit,Entire home/apt,,4,2.0,2.0,239.0
41.9165869,-87.7002393,Entire rental unit,Entire home/apt,5.0,3,1.0,1.0,203.0
41.9465,-87.76897,Private room in home,Private room,5.0,2,1.0,1.0,55.0
41.89726082042952,-87.62656453996897,Entire rental unit,Entire home/apt,4.65,6,1.0,4.0,88.0
41.84036841777513,-87.65280755041162,Private room in home,Private room,4.2,2,1.0,1.0,45.0
41.840557113467675,-87.65462952949271,Private room in home,Private room,4.4,2,1.0,1.0,45.0
41.842231680282104,-87.65258381625482,Private room in home,Private room,4.17,2,1.0,1.0,45.0
41.944187952220815,-87.66876011976233,Private room in home,Private room,,1,4.0,1.0,60.0
41.8474022,-87.69760029999999,Entire rental unit,Entire home/apt,4.33,6,2.0,2.0,76.0
41.98463030000001,-87.72940419999999,Entire rental unit,Entire home/apt,5.0,2,1.0,1.0,120.0
41.897163741283656,-87.62658331543207,Entire rental unit,Entire home/apt,4.91,5,1.0,4.0,111.0
41.96398749999999,-87.7147411,Entire home,Entire home/apt,5.0,10,5.0,7.0,308.0
41.89338,-87.62309,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.95074,-87.71737,Entire rental unit,Entire home/apt,4.94,6,3.0,3.0,197.0
41.8926909,-87.6627606,Entire rental unit,Entire home/apt,5.0,5,2.0,0.0,98.0
42.007042596504554,-87.66242096925123,Entire rental unit,Entire home/apt,4.5,4,1.0,2.0,98.0
41.8928,-87.70638,Entire rental unit,Entire home/apt,5.0,3,2.0,2.0,130.0
41.94647,-87.76935,Private room in home,Private room,5.0,1,1.0,1.0,38.0
41.94789362905105,-87.76922629218299,Private room in home,Private room,,1,1.0,1.0,42.0
41.91771,-87.72145,Entire home,Entire home/apt,4.64,3,1.0,1.0,116.0
41.907295777864874,-87.67293848667583,Entire home,Entire home/apt,5.0,6,3.0,3.0,189.0
41.813408934618906,-87.61305675128581,Entire rental unit,Entire home/apt,4.86,8,3.0,4.0,138.0
41.89352,-87.63408,Entire rental unit,Entire home/apt,4.92,14,3.0,0.0,471.0
41.894852129153634,-87.66233871478421,Private room in rental unit,Private room,,1,1.0,1.0,68.0
41.810770544651064,-87.66555322938682,Private room in rental unit,Private room,,1,1.0,1.0,22.0
41.903585436105686,-87.733367247881,Entire rental unit,Entire home/apt,4.54,6,2.0,3.0,180.0
41.89687,-87.63122,Entire condo,Entire home/apt,5.0,6,2.0,2.0,148.0
41.74894166532765,-87.65687260265986,Entire home,Entire home/apt,4.91,16,5.0,9.0,246.0
41.94849,-87.68655,Entire rental unit,Entire home/apt,,4,1.0,2.0,120.0
41.749075370203585,-87.73521339244132,Entire home,Entire home/apt,4.85,6,2.0,3.0,166.0
41.89156,-87.69015,Entire rental unit,Entire home/apt,,6,2.0,2.0,120.0
41.97625,-87.69828,Private room in home,Private room,5.0,1,1.0,1.0,111.0
41.97737,-87.6987,Private room in home,Private room,5.0,1,1.0,1.0,111.0
41.97660289822833,-87.69805623792489,Private room in home,Private room,,1,1.0,1.0,111.0
41.95025692547056,-87.7066827430344,Entire rental unit,Entire home/apt,4.71,5,2.0,2.0,125.0
41.92127,-87.76935,Entire rental unit,Entire home/apt,,6,2.0,3.0,170.0
41.85585,-87.6275,Entire rental unit,Entire home/apt,4.25,8,3.0,4.0,120.0
41.94929,-87.65649,Entire condo,Entire home/apt,5.0,2,1.0,1.0,206.0
41.79535,-87.6283,Entire rental unit,Entire home/apt,4.89,6,3.0,3.0,184.0
41.89243,-87.76403,Entire guesthouse,Entire home/apt,4.0,2,0.0,1.0,43.0
41.78389424103612,-87.60528691112995,Private room in home,Private room,,1,1.0,1.0,48.0
41.78233186015749,-87.60743849532759,Entire rental unit,Entire home/apt,,6,1.0,1.0,100.0
41.89139,-87.62885,Entire rental unit,Entire home/apt,,3,1.0,1.0,165.0
41.9192905,-87.7181555,Entire home,Entire home/apt,,15,6.0,6.0,206.0
41.88283744161095,-87.67701200844509,Entire rental unit,Entire home/apt,3.0,16,7.0,9.0,350.0
41.9269061,-87.6887168,Entire home,Entire home/apt,,8,4.0,4.0,330.0
41.77034,-87.61631,Entire rental unit,Entire home/apt,3.0,8,4.0,4.0,443.0
41.8747777,-87.6873822,Entire home,Entire home/apt,4.71,6,3.0,3.0,260.0
41.9517163,-87.6604242,Entire home,Entire home/apt,5.0,15,6.0,6.0,435.0
41.85326833205396,-87.62178081638115,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.8456253419849,-87.64536269726449,Private room in rental unit,Private room,4.29,2,1.0,1.0,35.0
41.90950385202641,-87.66802408979765,Entire rental unit,Entire home/apt,,2,1.0,2.0,334.0
41.86946,-87.6305,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.8411,-87.6584,Private room in home,Private room,3.88,2,1.0,1.0,29.0
41.83966662527922,-87.6566186128223,Private room in home,Private room,4.3,2,1.0,1.0,29.0
41.89475,-87.6255,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.881195673049625,-87.63322709195943,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.782532535963654,-87.72505659610033,Private room in home,Private room,5.0,2,1.0,1.0,37.0
41.79225,-87.66844,Entire rental unit,Entire home/apt,4.83,5,3.0,3.0,119.0
41.936875,-87.69698249999999,Entire rental unit,Entire home/apt,,4,2.0,2.0,204.0
41.885207022031366,-87.66450687691788,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.87725,-87.62966,Entire rental unit,Entire home/apt,,2,1.0,1.0,334.0
41.88576173229559,-87.61707512208451,Entire rental unit,Entire home/apt,,2,1.0,1.0,357.0
41.7998305,-87.6165759,Entire rental unit,Entire home/apt,4.67,9,3.0,6.0,202.0
41.796612951175945,-87.60427956800335,Private room in rental unit,Private room,4.0,1,1.0,1.0,36.0
41.80476897830757,-87.62136301539431,Private room in rental unit,Private room,,1,1.0,1.0,35.0
41.709243227910065,-87.62865196913481,Entire home,Entire home/apt,5.0,14,5.0,7.0,195.0
41.97368,-87.76927,Entire rental unit,Entire home/apt,4.71,6,3.0,3.0,139.0
41.89554430918896,-87.70909778773785,Entire rental unit,Entire home/apt,5.0,7,3.0,4.0,286.0
41.87865,-87.68507,Private room in rental unit,Private room,5.0,2,1.0,1.0,58.0
41.87913,-87.65759,Entire rental unit,Entire home/apt,,4,1.0,1.0,325.0
41.96501,-87.77131,Entire rental unit,Entire home/apt,4.78,4,2.0,2.0,113.0
41.97286,-87.76914,Entire rental unit,Entire home/apt,4.85,6,3.0,3.0,100.0
41.9449721,-87.6491738,Private room in bed and breakfast,Private room,4.5,2,1.0,1.0,71.0
41.9449721,-87.6491738,Private room in bed and breakfast,Private room,4.5,2,1.0,0.0,56.0
41.9449721,-87.6491738,Private room in bed and breakfast,Private room,,10,4.0,4.0,206.0
41.97432644965711,-87.84421025730842,Entire rental unit,Entire home/apt,5.0,6,2.0,3.0,135.0
41.899243926766786,-87.68197968955799,Entire rental unit,Entire home/apt,,4,2.0,3.0,50.0
41.8943,-87.65617,Entire rental unit,Entire home/apt,,4,2.0,0.0,134.0
41.938666,-87.66347259999999,Entire home,Entire home/apt,4.0,5,3.0,3.0,150.0
41.9547098,-87.72815399999999,Entire townhouse,Entire home/apt,4.93,10,3.0,4.0,164.0
41.810943645478766,-87.67358131349916,Private room in rental unit,Private room,,2,1.0,1.0,41.0
41.969175,-87.65711449999999,Entire condo,Entire home/apt,4.97,4,2.0,2.0,285.0
